"REF_DATE","GEO","DGUID","Sexual orientation","Sex","Age group","Selected Sociodemographic characteristics","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), married","Number of persons","Number","223","units","0","v1271206888","1.1.1.1.2.1","13087300","","","","0"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), common-law","Number of persons","Number","223","units","0","v1271206894","1.1.1.1.3.1","3074300","","","","0"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), previously married (divorced, separated, widowed)","Number of persons","Number","223","units","0","v1271206900","1.1.1.1.4.1","3282900","","","","0"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), single (never married)","Number of persons","Number","223","units","0","v1271206906","1.1.1.1.5.1","3685100","","","","0"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Lives in household with at least one child under 12","Number of persons","Number","223","units","0","v1271206912","1.1.1.1.6.1","6107700","","","","0"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Lives in household with no children under 12","Number of persons","Number","223","units","0","v1271206918","1.1.1.1.7.1","20739200","","","","0"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Place of residence, population centre","Number of persons","Number","223","units","0","v1271206996","1.1.1.1.20.1","22100200","","","","0"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Place of residence, rural area","Number of persons","Number","223","units","0","v1271207002","1.1.1.1.21.1","4746600","","","","0"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Visible minority","Number of persons","Number","223","units","0","v1271206972","1.1.1.1.16.1","5716000","","","","0"
"2015/2018","Canada","2016A000011124","Heterosexual","Both sexes","Total, 15 years and over","Not a visible minority","Number of persons","Number","223","units","0","v1271206978","1.1.1.1.17.1","21006400","","","","0"
